event_id,occurred_at,kind,subject_ids,phase,outcome,commit,pr,spec,evidence_path,supersedes,summary,next_action
STATE-20260804T170000-001,2026-08-04T17:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260804T170000-001.md,,,
STATE-20260804T183000-001,2026-08-04T18:30:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260804T183000-001.md,,,
STATE-20260804T200000-001,2026-08-04T20:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260804T200000-001.md,,,
STATE-20260804T210000-001,2026-08-04T21:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260804T210000-001.md,,,
STATE-20260804T220000-001,2026-08-04T22:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260804T220000-001.md,,,
STATE-20260804T230000-001,2026-08-04T23:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260804T230000-001.md,,,
STATE-20260804T234500-001,2026-08-04T23:45:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260804T234500-001.md,,,
STATE-20260805T001500-001,2026-08-05T00:15:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T001500-001.md,,,
STATE-20260805T010000-001,2026-08-05T01:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T010000-001.md,,,
STATE-20260805T020000-001,2026-08-05T02:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T020000-001.md,,,
STATE-20260805T030000-001,2026-08-05T03:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T030000-001.md,,,
STATE-20260805T040000-001,2026-08-05T04:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T040000-001.md,,,
STATE-20260805T050000-001,2026-08-05T05:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T050000-001.md,,,
STATE-20260805T060000-001,2026-08-05T06:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T060000-001.md,,,
STATE-20260805T070000-001,2026-08-05T07:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T070000-001.md,,,
STATE-20260805T080000-001,2026-08-05T08:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T080000-001.md,,,
STATE-20260805T090000-001,2026-08-05T09:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T090000-001.md,,,
STATE-20260805T090000-002,2026-08-05T09:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T090000-002.md,,,
STATE-20260805T101000-001,2026-08-05T10:10:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T101000-001.md,,,
STATE-20260805T120000-001,2026-08-05T12:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T120000-001.md,,,
STATE-20260805T130000-001,2026-08-05T13:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T130000-001.md,,,
STATE-20260805T140000-001,2026-08-05T14:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T140000-001.md,,,
STATE-20260805T180000-001,2026-08-05T18:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T180000-001.md,,,
STATE-20260805T200000-001,2026-08-05T20:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T200000-001.md,,,
STATE-20260805T220000-001,2026-08-05T22:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T220000-001.md,,,
STATE-20260805T233000-001,2026-08-05T23:30:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260805T233000-001.md,,,
STATE-20260806T003000-001,2026-08-06T00:30:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T003000-001.md,,,
STATE-20260806T010000-001,2026-08-06T01:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T010000-001.md,,,
STATE-20260806T020000-001,2026-08-06T02:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T020000-001.md,,,
STATE-20260806T030000-001,2026-08-06T03:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T030000-001.md,,,
STATE-20260806T030000-002,2026-08-06T03:00:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T030000-002.md,,,
STATE-20260806T131000-001,2026-08-06T13:10:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131000-001.md,,,
STATE-20260806T131100-001,2026-08-06T13:11:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131100-001.md,,,
STATE-20260806T131200-001,2026-08-06T13:12:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131200-001.md,,,
STATE-20260806T131300-001,2026-08-06T13:13:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131300-001.md,,,
STATE-20260806T131400-001,2026-08-06T13:14:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131400-001.md,,,
STATE-20260806T131500-001,2026-08-06T13:15:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131500-001.md,,,
STATE-20260806T131600-001,2026-08-06T13:16:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131600-001.md,,,
STATE-20260806T131700-001,2026-08-06T13:17:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131700-001.md,,,
STATE-20260806T131800-001,2026-08-06T13:18:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131800-001.md,,,
STATE-20260806T131900-001,2026-08-06T13:19:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T131900-001.md,,,
STATE-20260806T132000-001,2026-08-06T13:20:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132000-001.md,,,
STATE-20260806T132100-001,2026-08-06T13:21:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132100-001.md,,,
STATE-20260806T132200-001,2026-08-06T13:22:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132200-001.md,,,
STATE-20260806T132300-001,2026-08-06T13:23:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132300-001.md,,,
STATE-20260806T132400-001,2026-08-06T13:24:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132400-001.md,,,
STATE-20260806T132500-001,2026-08-06T13:25:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132500-001.md,,,
STATE-20260806T132600-001,2026-08-06T13:26:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132600-001.md,,,
STATE-20260806T132700-001,2026-08-06T13:27:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132700-001.md,,,
STATE-20260806T132800-001,2026-08-06T13:28:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132800-001.md,,,
STATE-20260806T132900-001,2026-08-06T13:29:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T132900-001.md,,,
STATE-20260806T133000-001,2026-08-06T13:30:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133000-001.md,,,
STATE-20260806T133100-001,2026-08-06T13:31:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133100-001.md,,,
STATE-20260806T133200-001,2026-08-06T13:32:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133200-001.md,,,
STATE-20260806T133300-001,2026-08-06T13:33:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133300-001.md,,,
STATE-20260806T133400-001,2026-08-06T13:34:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133400-001.md,,,
STATE-20260806T133500-001,2026-08-06T13:35:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133500-001.md,,,
STATE-20260806T133600-001,2026-08-06T13:36:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133600-001.md,,,
STATE-20260806T133700-001,2026-08-06T13:37:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133700-001.md,,,
STATE-20260806T133800-001,2026-08-06T13:38:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133800-001.md,,,
STATE-20260806T133900-001,2026-08-06T13:39:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T133900-001.md,,,
STATE-20260806T134000-001,2026-08-06T13:40:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T134000-001.md,,,
STATE-20260806T134100-001,2026-08-06T13:41:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T134100-001.md,,,
STATE-20260806T134200-001,2026-08-06T13:42:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T134200-001.md,,,
STATE-20260806T134300-001,2026-08-06T13:43:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T134300-001.md,,,
STATE-20260806T134400-001,2026-08-06T13:44:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T134400-001.md,,,
STATE-20260806T134500-001,2026-08-06T13:45:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T134500-001.md,,,
STATE-20260806T141900-001,2026-08-06T14:19:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T141900-001.md,,,
STATE-20260806T150500-001,2026-08-06T15:05:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T150500-001.md,,,
STATE-20260806T154000-001,2026-08-06T15:40:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T154000-001.md,,,
STATE-20260806T154500-001,2026-08-06T15:45:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T154500-001.md,,,
STATE-20260806T160500-001,2026-08-06T16:05:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T160500-001.md,,,
STATE-20260806T163900-001,2026-08-06T16:39:00Z,legacy_import,,,,,,,.agents/state-events/2026-08/STATE-20260806T163900-001.md,,,
